POT Value 1,POT Value 2,Gesture,Iteration
44890,30295,flex,1
44394,29687,flex,1
44218,30503,flex,1
45034,30903,flex,1
44970,30327,flex,1
44842,29591,flex,1
44298,30375,flex,1
44346,30791,flex,1
44458,29223,flex,1
44314,31191,flex,1
44602,30359,flex,1
44970,29911,flex,1
44522,29687,flex,1
44938,30487,flex,1
44442,29831,flex,1
45034,30615,flex,1
44634,30551,flex,1
44954,30391,flex,1
44858,29655,flex,1
44954,30679,flex,1
44778,29847,flex,1
44122,30439,flex,1
45083,30775,flex,1
45067,30263,flex,1
44378,29703,flex,1
45163,30167,flex,1
44474,30007,flex,1
44234,29527,flex,1
44874,30231,flex,1
44522,30023,flex,1
44970,30919,flex,1
44474,30407,flex,1
44570,30199,flex,1
44714,29687,flex,1
44602,30375,flex,1
44570,30279,flex,1
44698,30055,flex,1
44890,31159,flex,1
44634,29975,flex,1
44730,30023,flex,1
44154,30007,flex,1
44842,30343,flex,1
44522,30039,flex,1
44890,30823,flex,1
44634,30519,flex,1
44330,30183,flex,1
44506,29575,flex,1
44506,30743,flex,1
44250,29623,flex,1
44874,30551,flex,1
44986,30727,flex,1
44394,30551,flex,1
44442,30375,flex,1
44506,30215,flex,1
44730,30039,flex,1
45115,31559,flex,1
44490,29543,flex,1
44826,29959,flex,1
44090,30087,flex,1
45034,30439,flex,1
44746,30151,flex,1
44826,30743,flex,1
45067,30279,flex,1
44698,30183,flex,1
44330,27830,flex,1
44394,30999,flex,1
44042,30183,flex,1
44858,30631,flex,1
44410,31031,flex,1
44842,30423,flex,1
44602,28679,flex,1
44746,30023,flex,1
44602,30183,flex,1
44810,29703,flex,1
44858,30279,flex,1
45034,31463,flex,1
44762,29991,flex,1
44250,30551,flex,1
44506,31271,flex,1
44250,27942,flex,1
44730,28582,flex,1
44746,30023,flex,1
44954,30775,flex,1
44378,29767,flex,1
45034,30967,flex,1
44586,29511,flex,1
44826,31191,flex,1
44426,30807,flex,1
45115,30183,flex,1
44250,29847,flex,1
44634,30231,flex,1
44570,31127,flex,1
44586,29959,flex,1
44970,30759,flex,1
44426,29671,flex,1
44474,29863,flex,1
44698,29895,flex,1
45002,30567,flex,1
44314,28839,flex,1
44890,31463,flex,1
44458,31639,flex,1
44890,30391,flex,1
43834,29175,flex,1
44810,30615,flex,1
44842,30599,flex,1
44778,30951,flex,1
44858,28662,flex,1
44522,28903,flex,1
44378,31543,flex,1
44442,31159,flex,1
44506,30423,flex,1
44522,30727,flex,1
44426,31047,flex,1
44826,30919,flex,1
44106,28566,flex,1
44890,29223,flex,1
44298,30151,flex,1
45067,30567,flex,1
45227,30631,flex,1
44970,31255,flex,1
44394,28566,flex,1
44634,29927,flex,1
44106,29511,flex,1
44298,30775,flex,1
44906,31335,flex,1
44858,30007,flex,1
44842,29847,flex,1
44714,30903,flex,1
44490,29607,flex,1
44106,31399,flex,1
44442,31143,flex,1
44378,29031,flex,1
44698,29415,flex,1
44458,29751,flex,1
44842,30503,flex,1
44394,29927,flex,1
44954,30231,flex,1
44522,30055,flex,1
44586,33032,flex,1
44346,30743,flex,1
44570,28711,flex,1
44058,28214,flex,1
44842,30263,flex,1
