Iteration,Gesture,AVG POT VALUE 1,AVG POT VALUE 2
1,flex,44683.6,30252.6
1,flex,44677.35,30203.0
1,flex,44606.05,30295.0
1,flex,44631.65,30126.9
1,flex,44680.45,30201.35
1,flex,44632.5,30357.3
1,flex,44548.4,30285.4
1,flex,44535.6,30079.7
1,flex,44611.6,30210.1
1,flex,44696.4,30262.95
1,flex,44473.2,30273.3
1,flex,44627.7,30279.75
1,flex,44550.85,30154.75
2,flex,44688.6,30219.0
2,flex,44648.55,30163.75
2,flex,44700.5,30186.2
2,flex,44707.05,30339.8
2,flex,44646.9,30078.95
2,flex,44651.65,30193.4
2,flex,44616.4,30276.6
2,flex,44638.0,30208.55
2,flex,44597.2,30222.2
2,flex,44611.6,30194.2
2,flex,44690.05,30163.0
2,flex,44674.15,30272.6
2,flex,44620.45,30162.95
3,flex,44682.85,30134.95
3,flex,44702.95,30269.4
3,flex,44614.9,30149.35
3,flex,44650.85,30139.8
3,flex,44630.1,30248.6
3,flex,44702.05,30277.4
3,flex,44651.65,30281.4
3,flex,44702.1,30215.8
3,flex,44738.05,30215.8
3,flex,44673.2,30274.95
3,flex,44605.25,30122.15
3,flex,44589.2,30258.2
3,flex,44680.45,30176.45
4,flex,44815.9,30311.0
4,flex,44752.55,30254.15
4,flex,44697.35,30279.0
4,flex,44719.85,30212.6
4,flex,44655.7,30183.0
4,flex,44626.2,30336.6
4,flex,44642.8,30215.8
4,flex,44645.25,30236.6
4,flex,44591.65,30198.2
4,flex,44606.95,30156.55
4,flex,44580.4,30251.8
4,flex,44578.0,30239.0
4,flex,44666.05,30230.2
11,flex,42187.65,30320.6
11,flex,42045.2,30342.2
11,flex,42095.6,30299.75
11,flex,42025.2,30203.8
11,flex,42138.0,30218.1
11,flex,42207.6,30260.6
11,flex,42095.6,30210.2
11,flex,42128.4,30228.55
11,flex,42102.0,30310.2
11,flex,42102.0,30119.8
11,flex,42113.2,30290.2
11,flex,42213.2,30228.55
11,flex,42152.4,30188.55
5,flex,43670.8,30178.2
5,flex,43824.4,30322.2
5,flex,43741.2,29994.95
5,flex,43701.2,30111.75
5,flex,43710.0,30158.2
5,flex,43745.2,30213.4
5,flex,43657.2,30213.4
5,flex,43671.6,30237.4
5,flex,43763.6,30234.2
5,flex,43648.4,30182.15
5,flex,43694.0,30187.75
5,flex,43687.6,30199.0
5,flex,43753.2,30286.95
6,flex,44420.4,30239.0
6,flex,44485.2,30235.8
6,flex,44429.2,30223.75
6,flex,44462.8,30244.55
6,flex,44621.2,30290.2
6,flex,44492.45,30149.35
6,flex,44417.2,30222.2
6,flex,44551.65,30183.75
6,flex,44490.8,30220.55
6,flex,44482.0,30237.4
6,flex,44475.6,30219.8
6,flex,44489.2,30223.7
6,flex,44500.4,30337.35
7,flex,44557.25,30198.2
7,flex,44535.6,30238.2
7,flex,44439.6,30210.95
7,flex,44521.2,30197.4
7,flex,44312.4,30118.15
7,flex,44473.2,30217.4
7,flex,44434.8,30242.2
7,flex,44583.6,30274.2
7,flex,44458.8,30188.6
7,flex,44446.8,30243.0
7,flex,44510.0,30098.95
7,flex,44430.8,30156.6
7,flex,44511.6,30326.15
8,flex,44602.0,30250.2
8,flex,44618.85,30224.6
8,flex,44674.1,30202.15
8,flex,44610.8,30093.35
8,flex,44463.6,30172.55
8,flex,44608.45,30204.6
8,flex,44508.4,30174.9
8,flex,44557.2,30257.4
8,flex,44519.6,30170.9
8,flex,44574.8,30338.2
8,flex,44540.45,30220.55
8,flex,44626.8,30318.15
8,flex,44544.45,30026.1
9,flex,44498.85,30242.2
9,flex,44501.2,30252.6
9,flex,44581.2,30249.4
9,flex,44598.8,30221.4
9,flex,44603.6,30160.55
9,flex,44589.2,30218.2
9,flex,44598.0,30260.6
9,flex,44564.4,30187.0
9,flex,44658.0,30261.4
9,flex,44539.65,30242.2
9,flex,44506.8,30251.75
9,flex,44502.8,30296.6
9,flex,44534.0,30355.8
10,flex,44570.85,30195.0
10,flex,44612.4,30274.2
10,flex,44515.6,30230.2
10,flex,44550.85,30223.0
10,flex,44478.05,30335.0
10,flex,44533.2,30221.4
10,flex,44550.0,30246.2
10,flex,44511.6,30273.4
10,flex,44468.4,30224.6
10,flex,44513.2,30279.0
10,flex,44431.6,30242.2
10,flex,44498.8,30150.95
10,flex,44510.8,30353.4
1,rotate,50832.55,31969.0
1,rotate,50615.8,28633.8
1,rotate,51071.9,32479.5
1,rotate,50723.0,28987.45
1,rotate,50669.35,30768.65
1,rotate,50847.0,32676.35
1,rotate,50937.45,32111.4
1,rotate,50754.2,25963.5
1,rotate,50777.4,28223.3
1,rotate,50905.5,31355.25
1,rotate,50803.05,29794.1
1,rotate,50675.8,28460.15
1,rotate,50944.65,34267.1
1,rotate,50899.8,31177.65
2,rotate,46773.4,29701.2
2,rotate,46732.6,29618.85
2,rotate,46747.0,30791.8
2,rotate,46815.8,32229.6
2,rotate,46798.2,29590.0
2,rotate,46786.2,31938.5
2,rotate,46770.2,31106.25
2,rotate,46735.8,29932.5
2,rotate,46673.4,29976.45
2,rotate,46515.8,30806.1
2,rotate,46610.2,32317.7
2,rotate,46491.8,29887.55
2,rotate,46626.2,29417.1
2,rotate,46603.8,30483.75
3,rotate,46499.8,30183.6
3,rotate,46565.4,31335.2
3,rotate,46575.8,30236.5
3,rotate,46492.6,29519.45
3,rotate,46491.0,30182.05
3,rotate,46133.3,29738.65
3,rotate,46143.8,31637.65
3,rotate,46136.6,29682.75
3,rotate,46056.6,29265.05
3,rotate,45857.3,29747.65
