Iteration,Gesture,AVG POT VALUE 1,AVG POT VALUE 2,STD DEV 1,STD DEV 2,MAD 1,MAD 2,DELTA AVG POT VALUE 1,DELTA AVG POT VALUE 2,DELTA STD DEV 1,DELTA STD DEV 2,DELTA MAD 1,DELTA MAD 2
1,flex,44890.0,30295.0,0.0,0.0,0.0,0.0,44890.0,30295.0,0.0,0.0,0.0,0.0
1,flex,44642.0,29991.0,248.0,304.0,248.0,304.0,-248.0,-304.0,248.0,304.0,248.0,304.0
1,flex,44500.666666666664,30161.666666666668,284.5222115917742,346.21509049842973,259.55555555555475,316.44444444444406,-141.33333333333576,170.66666666666788,36.52221159177418,42.21509049842973,11.555555555554747,12.44444444444406
1,flex,44634.0,30347.0,337.70993470728695,439.25391290232125,328.0,356.0,133.33333333333576,185.33333333333212,53.18772311551277,93.03882240389152,68.44444444444525,39.55555555555594
1,flex,44701.2,30343.0,330.6081668686194,392.96208468508473,316.1600000000006,288.0,67.19999999999709,-4.0,-7.10176783866757,-46.291828217236514,-11.839999999999407,-68.0
1,flex,44691.6,30202.2,325.64618837022675,497.2268697485513,308.4800000000003,450.55999999999983,-9.599999999998545,-140.79999999999927,-4.961978498392625,104.26478506346655,-7.680000000000291,162.55999999999983
1,flex,44672.4,30339.8,344.8881557834014,425.6601461260638,331.5199999999997,304.64000000000016,-19.19999999999709,137.59999999999854,19.24196741317462,-71.56672362248747,23.039999999999395,-145.91999999999967
1,flex,44698.0,30397.4,313.53468707624677,461.7989172788199,300.8,359.6800000000003,25.599999999998545,57.60000000000218,-31.353468707154605,36.13877115275608,-30.719999999999686,55.040000000000134
1,flex,44582.8,30061.4,271.98117581875414,570.1570310010759,258.56000000000057,523.5199999999998,-115.19999999999709,-336.0,-41.55351125749263,108.35811372225601,-42.23999999999944,163.83999999999946
1,flex,44451.6,30234.2,203.0424586139794,732.3317281123292,158.71999999999971,661.7599999999999,-131.20000000000437,172.79999999999927,-68.93871720477475,162.1746971112533,-99.84000000000086,138.24000000000012
1,flex,44403.6,30387.8,113.85885999847613,658.096163185945,101.1199999999997,482.55999999999983,-48.0,153.59999999999854,-89.18359861550326,-74.2355649263842,-57.60000000000001,-179.20000000000005
1,flex,44538.0,30295.0,238.39463081202143,685.5024434675809,198.4,582.4,134.40000000000146,-92.79999999999927,124.5357708135453,27.406280281635873,97.2800000000003,99.84000000000015
1,flex,44573.2,30074.2,219.7074418405838,667.750372519598,170.2399999999994,560.6400000000001,35.19999999999709,-220.79999999999927,-18.68718897143762,-17.752070947982816,-28.160000000000593,-21.759999999999877
1,flex,44669.2,30327.0,251.03179081597727,520.7256475343304,227.8399999999994,422.4,96.0,252.79999999999927,31.324348975393463,-147.02472498526765,57.599999999999994,-138.24000000000012
1,flex,44694.8,30055.0,217.83516704115388,311.5689329828115,207.36000000000058,294.4,25.60000000000582,-272.0,-33.196623774823394,-209.15671455151892,-20.479999999998824,-128.0
1,flex,44781.2,30106.2,247.54021895458894,372.41181506491273,239.36000000000058,355.84000000000015,86.39999999999418,51.20000000000073,29.705051913435057,60.842882082101255,32.0,61.44000000000017
1,flex,44714.0,30234.2,232.30325008478104,392.7535614097144,217.6,380.15999999999985,-67.19999999999709,128.0,-15.236968869807896,20.341746344801663,-21.760000000000588,24.31999999999971
